;Joep;Joris;Jordy;Max;Charlotte;Evie;Willemijn;Job;Nynke;Britt;Tim;Ashwin;Cyrille;Gijs;Dennis;Kris;Sana;Diana;Lau;Badr;Luc;
GER-IVO;2-0;3-0;1-0;2-1;3-1;2-1;3-1;1-0;3-1;3-1;3-0;2-2;2-1;3-1;3-2;2-2;3-1;2-0;3-0;3-1;1-1;
ECU-CUW;2-0;1-0;2-0;2-0;1-1;1-2;1-1;2-0;2-0;0-2;2-0;1-1;3-1;3-1;2-0;3-0;2-2;2-1;1-1;3-2;2-0;
TUN-JAP;0-1;2-1;0-1;0-2;0-3;1-2;0-2;0-1;0-1;1-2;0-1;0-2;0-2;0-2;1-2;1-2;0-2;0-1;1-1;2-2;1-1;
ESP-SAR;2-0;5-0;3-1;2-0;5-1;4-0;3-0;2-1;3-1;3-0;5-0;2-1;3-0;3-1;4-0;2-0;3-1;3-0;4-0;3-1;3-0;
BEL-IRN;1-0;3-0;2-1;0-2;2-2;2-1;3-1;2-1;4-2;2-1;3-0;1-0;3-0;2-0;2-0;2-0;3-0;2-0;3-1;3-0;3-1;
URU-CPV;1-0;3-0;3-0;2-0;3-0;2-1;2-1;3-1;3-1;1-1;2-1;3-0;2-0;3-0;2-0;3-0;2-2;2-0;2-0;2-2;3-0;
NZL-EGY;0-1;0-2;0-0;0-2;1-3;0-0;0-2;0-1;1-3;0-0;0-2;0-1;0-1;0-2;1-2;2-2;0-3;0-3;1-1;1-2;1-1;
ARG-AUT;1-0;1-0;1-0;2-1;3-1;3-2;2-1;2-1;3-1;3-1;2-0;3-0;1-1;1-1;3-1;2-1;2-1;2-1;3-0;3-0;1-2;
FRA-IRK;2-0;6-0;3-0;3-0;4-1;3-1;6-0;2-1;3-0;4-1;6-0;3-0;2-0;4-0;5-0;3-0;2-1;3-0;3-0;3-0;3-1;
NOO-SEN;1-0;2-1;1-1;1-1;3-1;1-2;2-1;1-0;1-1;2-1;2-2;2-2;1-0;0-1;1-3;2-1;1-2;2-2;2-0;3-1;1-2;
JOR-ALG;0-1;2-2;1-2;1-0;3-3;0-1;0-1;0-1;3-1;0-1;1-2;0-2;0-2;0-1;1-3;1-2;2-2;0-1;1-1;1-2;1-1;
POR-OEZ;2-0;3-1;3-1;3-0;3-1;3-1;4-0;3-0;3-0;4-1;3-1;4-0;2-0;4-0;4-0;2-0;2-2;2-0;1-1;3-0;2-2;
ENG-GHA;2-0;3-1;1-0;2-0;3-0;3-0;3-1;3-0;2-2;3-0;2-0;2-1;2-1;3-1;3-0;3-1;1-1;2-1;3-1;2-1;3-1;
PAN-CRO;0-1;0-3;1-2;0-2;1-3;1-3;1-3;1-2;2-4;0-1;0-1;0-2;0-1;0-2;0-3;1-2;1-2;0-1;0-3;1-2;1-2;
COL-COD;0-1;1-0;2-0;2-1;2-1;2-1;3-1;3-1;2-2;3-0;2-0;1-1;2-0;2-1;3-1;1-1;2-1;2-0;2-0;3-1;1-1;
SUI-CAN;1-0;1-1;0-0;2-1;1-3;2-1;2-1;2-1;1-1;1-2;3-1;0-0;3-1;1-0;2-1;2-0;2-2;2-1;2-1;3-1;1-3;
BOS-QAT;1-0;3-0;0-2;2-1;2-2;1-1;1-0;2-1;2-1;0-0;2-0;1-0;2-1;0-1;0-2;2-1;1-2;0-0;3-0;1-2;2-2;
